id,date,product_id,price,sales,product_name
2511,2024-05-06,21,35,200,tomato
2512,2024-05-06,21,35,200,tomato
2513,2024-05-06,21,35,200,tomato
2514,2024-05-06,21,35,200,tomato
2515,2024-05-06,21,35,200,tomato
2516,2024-05-06,21,35,200,tomato
2517,2024-05-06,21,35,200,tomato
2518,2024-05-06,21,35,200,tomato
2519,2024-05-06,21,35,200,tomato
2520,2024-05-06,21,35,200,tomato
2521,2024-05-06,21,35,200,tomato
2522,2024-05-06,21,35,200,tomato
2523,2024-05-06,21,35,200,tomato
2524,2024-05-06,21,35,200,tomato
2525,2024-05-06,21,35,200,tomato
2526,2024-05-06,21,35,200,tomato
2527,2024-05-06,21,35,200,tomato
2528,2024-05-06,21,35,200,tomato
2529,2024-05-06,21,35,200,tomato
2530,2024-05-06,21,35,200,tomato
2531,2024-05-06,21,35,200,tomato
2532,2024-05-06,21,35,200,tomato
2533,2024-05-06,21,35,200,tomato
2534,2024-05-06,21,35,200,tomato
2535,2024-05-06,21,35,200,tomato
2536,2024-05-06,21,35,200,tomato
2537,2024-05-06,21,35,200,tomato
2538,2024-05-06,21,35,200,tomato
2539,2024-05-06,21,35,200,tomato
2540,2024-05-06,21,35,200,tomato
2541,2024-05-06,21,35,200,tomato
2542,2024-05-06,21,35,200,tomato
2543,2024-05-06,21,35,200,tomato
2544,2024-05-06,21,35,200,tomato
2545,2024-05-06,21,35,200,tomato
2546,2024-05-06,21,35,200,tomato
2547,2024-05-06,21,35,200,tomato
2548,2024-05-06,21,35,200,tomato
2549,2024-05-06,21,35,200,tomato
2550,2024-05-06,21,35,200,tomato
2551,2024-05-06,21,35,200,tomato
2552,2024-05-06,21,35,200,tomato
2553,2024-05-06,21,35,200,tomato
2554,2024-05-06,21,35,200,tomato
2555,2024-05-06,21,35,200,tomato
2556,2024-05-06,21,35,200,tomato
2557,2024-05-06,21,35,200,tomato
2558,2024-05-06,21,35,200,tomato
2559,2024-05-06,21,35,200,tomato
2560,2024-05-06,21,35,200,tomato
2561,2024-05-06,21,35,200,tomato
2562,2024-05-06,21,35,200,tomato
2563,2024-05-06,21,35,200,tomato
2564,2024-05-06,21,35,200,tomato
2565,2024-05-06,21,35,200,tomato
2566,2024-05-06,21,35,200,tomato
2567,2024-05-06,21,35,200,tomato
2568,2024-05-06,21,35,200,tomato
2569,2024-05-06,21,35,200,tomato
2570,2024-05-06,21,35,200,tomato
2571,2024-05-06,21,35,200,tomato
2572,2024-05-06,21,35,200,tomato
2573,2024-05-06,21,35,200,tomato
2574,2024-05-06,21,35,200,tomato
2575,2024-05-06,21,35,200,tomato
2576,2024-05-06,21,35,200,tomato
2577,2024-05-06,21,35,200,tomato
2578,2024-05-06,21,35,200,tomato
2579,2024-05-06,21,35,200,tomato
2580,2024-05-06,21,35,200,tomato
2581,2024-05-06,21,35,200,tomato
2582,2024-05-06,21,35,200,tomato
2583,2024-05-06,21,35,200,tomato
2584,2024-05-06,21,35,200,tomato
2585,2024-05-06,21,35,200,tomato
2586,2024-05-06,21,35,200,tomato
2587,2024-05-06,21,35,200,tomato
2588,2024-05-06,21,35,200,tomato
2589,2024-05-06,21,35,200,tomato
2590,2024-05-06,21,35,200,tomato
2591,2024-05-06,21,35,200,tomato
2592,2024-05-06,21,35,200,tomato
2593,2024-05-06,21,35,200,tomato
2594,2024-05-06,21,35,200,tomato
2595,2024-05-06,21,35,200,tomato
2596,2024-05-06,21,35,200,tomato
2597,2024-05-06,21,35,200,tomato
2598,2024-05-06,21,35,200,tomato
2599,2024-05-06,21,35,200,tomato
2600,2024-05-06,21,35,200,tomato
2601,2024-05-06,21,35,200,tomato
2602,2024-05-06,21,35,200,tomato
2603,2024-05-06,21,35,200,tomato
2604,2024-05-06,21,35,200,tomato
2605,2024-05-06,21,35,200,tomato
